,index,open,high,low,close,volume,value
0,2022-04-26 23:55:00,49747000.0,49747000.0,49571000.0,49573000.0,30.99189104,1538243544.73043
1,2022-04-27 00:00:00,49573000.0,49650000.0,49439000.0,49599000.0,46.60595411,2308534888.40041
2,2022-04-27 00:05:00,49600000.0,49650000.0,49400000.0,49650000.0,41.08470354,2034889854.63269
3,2022-04-27 00:10:00,49650000.0,49697000.0,49648000.0,49678000.0,16.69077346,829120946.2853
4,2022-04-27 00:15:00,49679000.0,49680000.0,49458000.0,49458000.0,19.79554803,981591974.15541
5,2022-04-27 00:20:00,49458000.0,49665000.0,49401000.0,49630000.0,25.2232417,1249611754.94603
6,2022-04-27 00:25:00,49645000.0,49645000.0,49570000.0,49576000.0,15.29332212,758873867.16861
7,2022-04-27 00:30:00,49576000.0,49658000.0,49525000.0,49605000.0,11.31696984,561379732.20715
8,2022-04-27 00:35:00,49648000.0,49648000.0,49470000.0,49554000.0,13.55514651,671341433.62532
9,2022-04-27 00:40:00,49554000.0,49554000.0,49272000.0,49432000.0,32.8195493,1620438795.34523
10,2022-04-27 00:45:00,49432000.0,49440000.0,49345000.0,49367000.0,16.7427207,826894744.01827
11,2022-04-27 00:50:00,49367000.0,49387000.0,49320000.0,49320000.0,17.5377716,865519062.51575
12,2022-04-27 00:55:00,49320000.0,49337000.0,49020000.0,49073000.0,64.886712,3188646736.86671
13,2022-04-27 01:00:00,49052000.0,49190000.0,48850000.0,49049000.0,99.55855083,4880405486.84589
14,2022-04-27 01:05:00,49049000.0,49231000.0,49028000.0,49231000.0,44.16250688,2168413448.49856
15,2022-04-27 01:10:00,49221000.0,49230000.0,49079000.0,49088000.0,20.89685547,1026580304.63356
16,2022-04-27 01:15:00,49088000.0,49100000.0,48925000.0,49057000.0,27.13957328,1330517235.34624
17,2022-04-27 01:20:00,49057000.0,49300000.0,49057000.0,49274000.0,19.54846072,961065977.36303
18,2022-04-27 01:25:00,49273000.0,49280000.0,49134000.0,49147000.0,16.94894242,834188030.70728
19,2022-04-27 01:30:00,49147000.0,49170000.0,48905000.0,48982000.0,22.97768683,1126073166.22242
20,2022-04-27 01:35:00,48982000.0,49043000.0,48861000.0,48870000.0,28.98896174,1418398224.01958
21,2022-04-27 01:40:00,48870000.0,49035000.0,48847000.0,48987000.0,24.00405241,1173740726.08615
22,2022-04-27 01:45:00,48987000.0,49011000.0,48925000.0,49000000.0,18.09237582,885989964.61444
23,2022-04-27 01:50:00,49000000.0,49114000.0,48971000.0,49061000.0,14.69986123,720922948.04058
24,2022-04-27 01:55:00,49051000.0,49200000.0,49030000.0,49114000.0,11.77684361,578049455.66067
25,2022-04-27 02:00:00,49114000.0,49114000.0,48938000.0,48984000.0,18.59329134,911112280.20377
26,2022-04-27 02:05:00,48984000.0,48990000.0,48895000.0,48945000.0,11.01492658,539017983.31762
27,2022-04-27 02:10:00,48945000.0,49000000.0,48800000.0,48840000.0,29.77191186,1454805240.49273
28,2022-04-27 02:15:00,48800000.0,48851000.0,48709000.0,48709000.0,30.30650991,1477596022.79702
29,2022-04-27 02:20:00,48710000.0,48726000.0,48500000.0,48536000.0,131.2775732,6375730440.05045
30,2022-04-27 02:25:00,48535000.0,48799000.0,48514000.0,48727000.0,33.26352885,1619434979.32433
31,2022-04-27 02:30:00,48727000.0,48840000.0,48710000.0,48791000.0,19.32833269,942110848.36175
32,2022-04-27 02:35:00,48791000.0,48833000.0,48711000.0,48776000.0,15.75231557,768242422.089
33,2022-04-27 02:40:00,48776000.0,49000000.0,48776000.0,48894000.0,16.47674821,806190378.88051
34,2022-04-27 02:45:00,48893000.0,48932000.0,48789000.0,48855000.0,16.98845426,830594915.9206
35,2022-04-27 02:50:00,48855000.0,48907000.0,48799000.0,48870000.0,9.27026832,452861286.9226
36,2022-04-27 02:55:00,48877000.0,48907000.0,48838000.0,48853000.0,7.53271906,368043672.74444
37,2022-04-27 03:00:00,48853000.0,48876000.0,48711000.0,48712000.0,11.92223406,581426995.46559
38,2022-04-27 03:05:00,48713000.0,48820000.0,48703000.0,48743000.0,9.23690652,450135250.59523
39,2022-04-27 03:10:00,48782000.0,48935000.0,48745000.0,48935000.0,6.85837304,335063684.49611
40,2022-04-27 03:15:00,48935000.0,49006000.0,48872000.0,48888000.0,14.90336331,729351232.64958
41,2022-04-27 03:20:00,48874000.0,48989000.0,48859000.0,48884000.0,14.71091238,719330103.08158
42,2022-04-27 03:25:00,48884000.0,48956000.0,48842000.0,48934000.0,6.86897851,335654704.43132
43,2022-04-27 03:30:00,48888000.0,48934000.0,48843000.0,48866000.0,7.19204041,351655796.74388
44,2022-04-27 03:35:00,48873000.0,48991000.0,48866000.0,48895000.0,9.58986112,469330596.25658
45,2022-04-27 03:40:00,48954000.0,48954000.0,48783000.0,48820000.0,9.66442485,472015899.51635
46,2022-04-27 03:45:00,48820000.0,48877000.0,48761000.0,48766000.0,7.7783275,379518491.79947
47,2022-04-27 03:50:00,48766000.0,48880000.0,48763000.0,48879000.0,5.74787238,280616882.71698
48,2022-04-27 03:55:00,48831000.0,48991000.0,48830000.0,48941000.0,7.10878607,347745279.50525
49,2022-04-27 04:00:00,48941000.0,49003000.0,48863000.0,48890000.0,6.84055143,334727147.51844
50,2022-04-27 04:05:00,48890000.0,48997000.0,48863000.0,48995000.0,9.79543236,478913546.37979
51,2022-04-27 04:10:00,48995000.0,49043000.0,48919000.0,48962000.0,10.44448988,511630799.0812
52,2022-04-27 04:15:00,48920000.0,48921000.0,48700000.0,48764000.0,17.17052931,837695040.63617
53,2022-04-27 04:20:00,48764000.0,48900000.0,48762000.0,48818000.0,6.81163485,332474707.97793
54,2022-04-27 04:25:00,48834000.0,48838000.0,48601000.0,48627000.0,17.68776256,861215196.19979
55,2022-04-27 04:30:00,48668000.0,48668000.0,48376000.0,48441000.0,62.49029546,3031414930.03896
56,2022-04-27 04:35:00,48497000.0,48815000.0,48441000.0,48798000.0,18.18805637,884027942.83264
57,2022-04-27 04:40:00,48798000.0,48850000.0,48666000.0,48833000.0,9.07790289,442707106.05907
58,2022-04-27 04:45:00,48782000.0,48957000.0,48764000.0,48814000.0,8.27835117,404063275.21353
59,2022-04-27 04:50:00,48814000.0,48998000.0,48789000.0,48888000.0,11.7266542,573582984.90914
60,2022-04-27 04:55:00,48921000.0,48964000.0,48865000.0,48865000.0,8.42394592,412017296.10125
61,2022-04-27 05:00:00,48868000.0,48945000.0,48700000.0,48763000.0,14.44944453,705458649.00064
